review_id,review_text,rating,user,timestamp
1,"Great food and amazing service! The pasta was delicious and the staff was very friendly. Will definitely come back!",5,Sarah_M,2024-03-15 14:30:00
2,"Visit our website www.bestdeals.com for exclusive discount offers! Free delivery on all orders!",1,PromoBot_123,2024-03-14 09:15:00
3,"TERRIBLE PLACE!!!! WORST FOOD EVER!!!! NEVER GOING BACK!!!!",1,AngryCustomer,2024-03-13 20:45:00
4,"I've never been to this restaurant but heard bad things about it. One star.",1,RandomReviewer,2024-03-12 16:20:00
5,"Nice atmosphere and good location. The pizza was okay, service could be faster but overall decent experience.",4,John_D,2024-03-11 19:30:00
6,"Check out our special promo this week! 50% off all meals. Visit https://restaurant-deals.com for more info!",5,FakeAccount_99,2024-03-10 11:00:00
7,"Lovely place for a date night. The wine selection is excellent and the ambiance is perfect for romantic dinners.",5,CoupleGoals,2024-03-09 21:15:00
8,"Bad",1,LazyReviewer,2024-03-08 13:45:00
9,"Outstanding food quality and presentation. The chef really knows what they're doing. Highly recommended for special occasions.",5,FoodieExpert,2024-03-07 18:20:00
10,"I haven't been here myself but my friend said it's not worth the money. Giving 2 stars based on that.",2,SecondHand_Info,2024-03-06 12:30:00
